adhere                  przestrzegać czegoś
carving                 rzeźba
convey                  przekazywać wyrażać
courtesy                uprzejmość, za zgodą kogoś
cumbersome              nieporęczny, niewygodny, zawiły
decent                  przyzwoity, sensowny
deserve                 zasługiwać na coś
despite                 pomimo
deliberately            celowo, umyślnie
encourage               zachęcać wspierać
fairly                  całkiem, dość
hence                   stąd
impose                  narzucać, ustanawiać
leverage                wykorzystywać
neat                    schludny, staranny, czysty
ongoing                 trwający, toczący się
outline                 zarys, nakreślać
parlance                żargon
pertinent               trafny, mający związek z czymś
rudimentary             elementarny, podstawowy
shallow                 płytki
tackle                  załatwić, stawić czoła
undergo                 przechodzić
whim                    zachcianka, kaprys
viable                  wykonalny opłacalny możliwy             *
